person,2020,2021,2022,2023
0,7703,10267,12244,8421
1,7658,4581,8488,6745
3,38790,38790,38790,38790
10,3834,9789,38960,16196
11,47757,48581,49261,50282
15,9623,9623,9623,9623
16,9789,38960,16196,20895
17,9789,38960,16196,20895
19,8716,37643,10569,18744
20,1072,1317,5627,2152
23,23222,48951,18354,25387
32,183769,249097,212672,208876
33,9623,9623,9623,9623
35,187525,206192,216840,220160
38,5685,6465,7248,5320
39,158442,194920,180065,179745
41,59379,94142,73906,71182
43,0,35645,50,23153
44,0,35645,50,23153
49,17925,59604,20529,38821
58,8331,19714,17266,10559
63,18554,32872,27776,17538
64,20068,34406,29342,19197
68,9789,38960,16196,20895
72,14126,21702,18775,16354
74,13230,36656,4560,13024
80,7901,4827,8758,7010
81,286624,299150,313001,325425
82,29629,48300,38221,27710
100,24237,33150,33952,30216
101,243764,263156,257378,260211
108,2555,3309,5465,5218
111,5500,0,17000,0
112,32764,34107,35508,37631
117,56239,21319,40488,16898
118,56239,21319,40488,16898
119,5500,0,17000,0
121,2555,3309,5465,5218
123,84927,89439,93974,99009
124,4953,5520,5592,5500
128,46450,18004,24342,19155
130,8331,19714,17266,10559
131,8331,19714,17266,10559
132,8938,20674,17920,10882
135,8331,19714,17266,10559
136,8331,19714,17266,10559
137,8938,20674,17920,10882
147,177415,177812,179963,181056
151,186965,205632,216281,219601
157,7230,6264,5513,4810
159,7374,5254,4663,4690
161,23827,40831,29248,18448
162,10628,24273,17197,10015
164,11144,13921,14515,15110
165,18485,34379,23706,12600
166,188070,243220,218286,207455
187,115491,120557,127009,133183
188,6241,1261,497,2043
192,10704,16778,14738,9857
200,11453,16190,14774,11284
201,14626,29132,24292,14984
209,6427,7531,12735,11308
210,183769,249097,212672,208876
213,158442,194920,180065,179745
222,143045,158106,167278,170267
229,4167,4214,5787,6114
230,6217,6500,8584,9194
235,187525,206192,216840,220160
236,186965,205632,216281,219601
238,5689,8458,6371,4102
243,277812,303999,292493,288462
244,243764,227511,257328,237058
245,56239,56964,40538,40051
246,192478,211712,222432,225660
247,169585,208842,194580,194855
248,85334,92287,70061,62802
249,218433,209857,218587,217280
250,67409,32683,49532,23981
253,188070,243220,218286,207455
254,2226,5758,2260,1202
262,41454,34538,53377,32361
243,2217,5246,3889,2711
10,10266,6521,3852,4456
16,6521,3852,4456,7227
17,20185,19130,19466,20374
32,5855,6128,7450,7892
35,13872,15120,15054,15488
68,6521,3852,4456,7227
101,13872,15120,15054,15488
105,13823,15402,15171,13360
151,13872,15120,15054,15488
166,9072,7886,7538,8705
189,13665,15279,15010,13148
222,10217,11372,11775,12618
235,13872,15120,15054,15488
236,13872,15120,15054,15488
243,24778,24959,24721,26645
244,13872,15120,15054,15488
246,13872,15121,15055,15489
247,7463,6139,6478,8020
248,10905,9838,9666,11156
253,9072,7886,7538,8705
10,12550,22198,25438,21334
11,5959,23762,23181,26051
